,1,1,Oh you jest!All right...your life!何も問題ないよ！
,2,2,With some encouragement...You lax...おはようから始めてごらん…
,3,3,oh you look like pissing off?短気は損気だよ…
,4,4,You need tea-break?そんな顔して何ができるっていうの？少し一服しなよ。
,5,5,You should be in a hiatus...何食べても美味しくない？あたしが料理つくったげよっか。
,6,6,Please,please stop messing up!いいからもう外の空気吸ってきなさい。
,7,7,Keep the dog at bay,you're horrible!聴こえないの？あたしの言う事が。
,8,8,Leave you to the better place right now!ブラウザ閉じて早く寝なさい！
,9,9,You look like miserable entirely...あなた、かわいそうな野良犬さん…。
,1010,i hug you and kiss you...com'on...いいわ…今夜はあたしが慰めてあげる…
